drug_id,drug_name,brand_name,active_ingredient,gene_symbol,clinpgx_id,ncbi_id,boxed_warning,indications
15,tamsulosin hydrochloride,Tamsulosin Hydrochloride,TAMSULOSIN HYDROCHLORIDE,,,,None,1 INDICATIONS AND USAGE Tamsulosin hydrochloride capsules are indicated for the treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) [see Clinical Studies (14) ] . Tamsulosin hydrochloride capsules are not indicated for the treatment of hypertension. Tamsulosin hydrochloride capsules are an alpha 1 adrenoceptor antagonist indicated for treatment of the signs and symptoms of benign prostatic hyperplasia (1) Tamsulosin hydrochloride capsules are not indicated for the treatment
16,aluminum chlorohydrate,Roll On Anti-Perspirant (Alcohol Free),ALUMINUM CHLOROHYDRATE,,,,None,Use Reduces underarm wetness.
17,betamethasone dipropionate,Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,,,,None,INDICATIONS AND USAGE Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
19,calcium acetate,Calcium Acetate,CALCIUM ACETATE,,,,None,1 INDICATIONS AND USAGE Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease. ( 1 )
20,sacubitril and valsartan,ENTRESTO,SACUBITRIL,,,,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue ENTRESTO as soon as possible (5.1) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus (5.1) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue ENTRESTO as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )","1 INDICATIONS AND USAGE ENTRESTO is a combination of sacubitril, a neprilisin inhibitor, and valsartan, an angiotensin II receptor blocker, and is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adult patients with chronic heart failure. Benefits are most clearly evident in patients with left ventricular ejection fraction (LVEF) below normal. ( 1.1 ) for the treatment of symptomatic heart failure with systemic left ventricular systolic dysfunction i"
21,petrolatum and lanolin,VERADEX-E,PETROLATUM,,,,None,"Indications: Temporarily relieves minor burns, dry, chapped, fissured and macerated skin and lips, also relieves Psoriais, Eczema, mild sunburn, abrasions and contusions, diaper dermatitis, hemorrhoids, and prickly heat."
22,etodolac,Etodolac,ETODOLAC,,,,"Cardiovascular Thrombotic Events Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal. This risk may occur early in treatment and may increase with duration of use (see WARNINGS and PRECAUTIONS ) . Etodolac is contraindicated in the setting of coronary artery bypass graft (CABG) surgery (see CONTRAINDICATIONS and WARNINGS ). Gastrointestinal Risk NSAIDs cause an increased risk of serious gastrointestinal adverse events including bleeding, ulceration, and perforation of the stomach or intestines, which can be fatal. These events can occur at any time during use and without warning symptoms. Elderly patients are at a greater risk for serious gastrointestinal (GI) events (see WARNINGS ).","INDICATIONS AND USAGE Carefully consider the potential benefits and risks of etodolac and other treatment options before deciding to use etodolac. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS ). Etodolac tablets, USP are indicated: For acute and long-term use in the management of signs and symptoms of the following: Osteoarthritis Rheumatoid arthritis For the management of acute pain"
24,sodium fluoride,Colgate Max Fresh Cool Mint,SODIUM FLUORIDE,,,,None,Use helps protect against cavities
25,sertraline hydrochloride,Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,,,,"BOXED WARNING Suicidality and Antidepressant Drugs Antidepressants increased the risk compared to placebo of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Anyone considering the use of Sertraline hydrochloride or any other antidepressant in a child, adolescent, or young adult must balance this risk with the clinical need. Short-term studies did not show an increase in the risk of suicidality with antidepressants compared to placebo in adults beyond age 24; there was a reduction in risk with antidepressants compared to placebo in adults aged 65 and older. Depression and certain other psychiatric disorders are themselves associated with increases in the risk of suicide. Patients of all ages who are started on antidepressant therapy should be monitored appropriately and observed closely for clinical worsening, suicidality, or unusual changes in behavior. Families and caregivers should be advised of the need for close observation and communication with the prescriber. Sertraline hydrochloride tablets are not approved for the treatment of major depressive disorder in pediatric patients. (See WARNINGS:Clinical Worsening and Suicide Risk , PRECAUTIONS:Information for Patients , and PRECAUTIONS:Pediatric Use ).",INDICATIONS AND USAGE Major Depressive Disorder – Sertraline hydrochloride is indicated for the treatment of major depressive disorder in adults. The efficacy of Sertraline hydrochloride in the treatment of a major depressive episode was established in six to eight week controlled trials of adult outpatients whose diagnoses corresponded most closely to the DSM-III category of major depressive disorder (see Clinical Trials under CLINICAL PHARMACOLOGY ). A major depressive episode implies a promin
27,esomeprazole magnesium,Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,,,,None,1 INDICATIONS AND USAGE Esomeprazole magnesium delayed-release capsules are a proton pump inhibitor (PPI). Esomeprazole magnesium delayed-release capsules are indicated for the: · Short-term treatment in the healing of erosive esophagitis (EE) in adults and pediatric patients 12 years to 17 years of age. ( 1.1 ) · Maintenance of healing of EE in adults. ( 1.2 ) · Short-term treatment of heartburn and other symptoms associated GERD in adults and pediatric patients 12 years to 17 years of age. ( 1
28,"octisalate, titanium dioxide",Dior Backstage Glow-Up Skin Tint Tinted Moisturizer SPF 20 9N Neutral,OCTISALATE,,,,None,"Uses Helps prevent sunburn. If used as directed with other sun protection measures ( see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun."
29,polyethylene glycol 400,Foster and Thrive Dry Eye Relief,POLYETHYLENE GLYCOL 400,,,,None,Uses for protection against further irritation for temporary relief of burning and irritation due to dryness of the eye
30,"polyethylene glycol 400, tetrahydrozoline hcl",Foster and Thrive Advanced Relief Eye Drops,TETRAHYDROZOLINE HYDROCHLORIDE,,,,None,Uses relieves redness of the eye due to minor eye irritations as a lubricant to prevent further irritation or to relieve dryness of the eye
31,isopropyl alcohol,Dollar General,ISOPROPYL ALCOHOL,,,,None,"Uses first aid to help prevent the risk of infection in minor cuts, scrapes, and burns"
32,fludrocortisone acetate,Fludrocortisone Acetate,FLUDROCORTISONE ACETATE,,,,None,"INDICATIONS AND USAGE Fludrocortisone acetate tablets, 0.1 mg are indicated as partial replacement therapy for primary and secondary adrenocortical insufficiency in Addison's disease and for the treatment of salt-losing adrenogenital syndrome."
33,lacosamide,LACOSAMIDE,LACOSAMIDE,,,,None,"1 INDICATIONS AND USAGE Lacosamide injection is indicated for: Treatment of partial-onset seizures in patients 17 years of age and older ( 1.1 ) 1.1 Partial-Onset Seizures Lacosamide injection is indicated for the treatment of partial-onset seizures in patients 17 years of age and older. Pediatric use information is approved for UCB, Inc.’s VIMPAT ® (lacosamide) injection. However, due to UCB, Inc.’s marketing exclusivity rights, this drug product is not labeled with that pediatric information."
35,naproxen sodium 220mg,Naproxen Sodium 220mg,NAPROXEN SODIUM,,,,None,Uses temporarily relieves minor aches and pains due to: minor pain of arthritis muscular aches backache menstrual cramps headache toothache the common cold temporarily reduces fever
36,chloroxylenol,Sierrasoft Clear Antibacterial Wash Foam,CHLOROXYLENOL,,,,None,Uses For handwashing to reduce bacteria on the skin
37,carbamide peroxide,Leader Earwax Removal Drops Earwax Removal Aid,CARBAMIDE PEROXIDE,,,,None,"Uses for occasional use as an aid to soften, loosen, and remove excessive earwax"
38,amphetamine sulfate,Amphetamine Sulfate,AMPHETAMINE SULFATE,,,,"WARNING: ABUSE, MISUSE, AND ADDICTION Amphetamine sulfate tablets have a high potential for abuse and misuse, which can lead to the development of a substance use disorder, including addiction. Misuse and abuse of CNS stimulants, including amphetamine sulfate, can result in overdose and death ( see OVERDOSAGE ), and this risk is increased with higher doses or unapproved methods of administration, such as snorting or injection. Before prescribing amphetamine sulfate tablets, assess each patient’s risk for abuse, misuse, and addiction. Educate patients and their families about these risks, proper storage of the drug, and proper disposal of any unused drug. Throughout amphetamine sulfate tablets treatment, reassess each patient’s risk of abuse, misuse, and addiction and frequently monitor for signs and symptoms of abuse, misuse, and addiction ( see WARNINGS and DRUG ABUSE AND DEPENDENCE ).","INDICATIONS AND USAGE Amphetamine sulfate tablets are indicated for: Narcolepsy Attention Deficit Disorder with Hyperactivity as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate to severe distractibility, short attention span, hyperactivity, emotional lability, and "
39,even tone plus niacinamide apple blossom and mango butter dry spray 72h antiperspirant deodorant,Dove,ALUMINUM SESQUICHLOROHYDRATE,,,,None,Uses • reduces underarm wetness
40,even tone plus niacinamide peach blossom and rice milk dry spray 72h antiperspirant deodorant,Dove,ALUMINUM SESQUICHLOROHYDRATE,,,,None,Uses • reduces underarm wetness
41,even tone plus niacinamide shea butter and vanilla dry spray 72h antiperspirant deodorant,Dove,ALUMINUM SESQUICHLOROHYDRATE,,,,None,Uses • reduces underarm wetness
42,"bellis perennis, hypericum perfomatum,toxicodendron pubscens leaf, ruta graveolens flowering top",Sports For Trauma Gel,BELLIS PERENNIS,,,,None,"Indications & Usage Temporarily relieves deep muscle and back pain, stiffness, and swelling associated with overexertion, sprains, falls, blows, and minor sports injuries. Relieves joint and tendon pain and inflammation."
43,"avobenzone, homosalate, octisalate, and octocrylene",SHISEIDO ULTIMATE SUN PROTECTOR,AVOBENZONE,,,,None,"Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun"
45,zinc oxide,ISA KNOX ANEW SOLAIRE EVERYDAY MINERAL FACE PROTECTION BROAD SPECTRUM SPF 50 SUNSCREEN,ZINC OXIDE,,,,None,"USES helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun"
46,famotidine,Famotidine,FAMOTIDINE,,,,None,"1 INDICATIONS AND USAGE Famotidine tablets are indicated in adult and pediatric patients 40 kg and greater for the treatment of: • active duodenal ulcer (DU). • active gastric ulcer (GU). • symptomatic nonerosive gastroesophageal reflux disease (GERD). • erosive esophagitis due to GERD, diagnosed by biopsy. Famotidine tablets are indicated in adults for the: • treatment of pathological hypersecretory conditions (e.g., Zollinger-Ellison syndrome, multiple endocrine neoplasias). • reduction of the"
47,menthol,CAREALL Musle and Joint,MENTHOL,,,,None,"For the temporary relief of minor aches and pains of muscles and joints associated with simple backache, arthritis, sprains, and bruises"
49,"camphor, menthol",Dragon Pain Relieving Balm,MENTHOL,,,,None,Uses For the temporary relief of minor aches and pains of muscles and joints associated with simple backache arthritis strains bruises sprains
51,aluminium fluoratum,Aluminium Fluoratum,ALUMINUM FLUORIDE,,,,None,N/A
52,tetrahydrozoline hcl,Foster and Thrive Original Formula Eye Drops,TETRAHYDROZOLINE HYDROCHLORIDE,,,,None,Use relieves redness of the eye due to minor eye irritations
54,olanzapine,Olanzapine,OLANZAPINE,,,,"WARNING: INCREASED MORTALITY IN ELDERLY PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Analyses of seventeen placebo-controlled trials (modal duration of 10 weeks), largely in patients taking atypical antipsychotic drugs, revealed a risk of death in drug-treated patients of between 1.6 to 1.7 times the risk of death in placebo-treated patients. Over the course of a typical 10-week controlled trial, the rate of death in drug-treated patients was about 4.5%, compared to a rate of about 2.6% in the placebo group. Although the causes of death were varied, most of the deaths appeared to be either cardiovascular (e.g., heart failure, sudden death) or infectious (e.g., pneumonia) in nature. Observational studies suggest that, similar to atypical antipsychotic drugs, treatment with conventional antipsychotic drugs may increase mortality. The extent to which the findings of increased mortality in observational studies may be attributed to the antipsychotic drug as opposed to some characteristic(s) of the patients is not clear. ZYPREXA (olanzapine) is not approved for the treatment of patients with dementia-related psychosis [see Warnings and Precautions ( 5.1 ), Use in Specific Populations ( 8.5 ), and Patient Counseling Information ( 17 )] . When using olanzapine and fluoxetine in combination, also refer to the Boxed Warning section of the package insert for Symbyax. WARNING: INCREASED MORTALITY IN ELDERLY PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS See full prescribing information for complete boxed warning. Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Olanzapine is not approved for the treatment of patients with dementia-related psychosis. ( 5.1 , 8.5 , 17 ) When using olanzapine and fluoxetine in combination, also refer to the Boxed Warning section of the package insert for Symbyax.",1 INDICATIONS AND USAGE Olanzapine is an atypical antipsychotic indicated: As oral formulation for the: Treatment of schizophrenia. ( 1.1 ) Adults: Efficacy was established in three clinical trials in patients with schizophrenia: two 6-week trials and one maintenance trial. ( 14.1 ) Adolescents (ages 13-17): Efficacy was established in one 6-week trial in patients with schizophrenia ( 14.1 ). The increased potential (in adolescents compared with adults) for weight gain and dyslipidemia may lead 
55,eculizumab-aeeb,BKEMV,ECULIZUMAB,,,,"WARNING: SERIOUS MENINGOCOCCAL INFECTIONS Eculizumab products, complement inhibitors, increase the risk of serious infections caused by Neisseria meningitidis [see Warnings and Precautions (5.1) ] . Life-threatening and fatal meningococcal infections have occurred in patients treated with complement inhibitors. These infections may become rapidly life-threatening or fatal if not recognized and treated early. Complete or update vaccination for meningococcal bacteria (for serogroups A, C, W, Y, and B) at least 2 weeks prior to the first dose of BKEMV, unless the risks of delaying therapy with BKEMV outweigh the risk of developing a serious infection. Comply with the most current Advisory Committee on Immunization Practices (ACIP) recommendations for vaccinations against meningococcal bacteria in patients receiving a complement inhibitor. See Warnings and Precautions (5.1) for additional guidance on the management of the risk of serious infections caused by meningococcal bacteria. Patients receiving eculizumab products are at increased risk for invasive disease caused by Neisseria meningitidis , even if they develop antibodies following vaccination. Monitor patients for early signs and symptoms of serious meningococcal infections and evaluate immediately if infection is suspected. Because of the risk of serious meningococcal infections, BKEMV is available only through a restricted program under a Risk Evaluation and Mitigation Strategy (REMS) called BKEMV REMS [see Warnings and Precautions (5.2) ] . WARNING: SERIOUS MENINGOCOCCAL INFECTIONS See full prescribing information for complete boxed warning Eculizumab products increase the risk of serious and life-threatening infections caused by Neisseria meningitidis . Complete or update meningococcal vaccination at least 2 weeks prior to the first dose of BKEMV, unless the risks of delaying BKEMV outweigh the risk of developing a serious infection. Comply with the most current Advisory Committee on Immunization Practices (ACIP) recommendations for meningococcal vaccination in patients receiving a complement inhibitor. ( 5.1 ) Patients receiving eculizumab products are at increased risk for invasive disease caused by N. meningitidis , even if they develop antibodies following vaccination. Monitor patients for early signs and symptoms of meningococcal infections and evaluate immediately if infection is suspected. ( 5.1 ) BKEMV is available only through a restricted program called BKEMV REMS. ( 5.2 )",1 INDICATIONS AND USAGE BKEMV is a complement inhibitor indicated for: The treatment of patients with paroxysmal nocturnal hemoglobinuria (PNH) to reduce hemolysis. ( 1.1 ) The treatment of patients with atypical hemolytic uremic syndrome (aHUS) to inhibit complement-mediated thrombotic microangiopathy. ( 1.2 ) Limitation of Use BKEMV is not indicated for the treatment of patients with Shiga toxin E. coli related hemolytic uremic syndrome (STEC-HUS). The treatment of generalized myasthenia gravi
56,"adenosine, niacinamide",PETITCOCHON TONE UP BODY SUN,ADENOSINE,,,,None,"How to use; At the last stage of basic care, apply an appropriate amount to the face, neck, arms, and legs that are easily exposed to UV rays."
57,aluminium nitricum,Aluminium Nitricum,ALUMINUM NITRATE,,,,None,N/A
58,nitisinone,NITYR,NITISINONE,,,,None,1 INDICATIONS AND USAGE NITYR ® is indicated for the treatment of adult and pediatric patients with hereditary tyrosinemia type 1 (HT-1) in combination with dietary restriction of tyrosine and phenylalanine. NITYR is a hydroxyphenyl-pyruvate dioxygenase inhibitor indicated for the treatment of adult and pediatric patients with hereditary tyrosinemia type 1 (HT-1) in combination with dietary restriction of tyrosine and phenylalanine. ( 1 )
59,"garlic, avena sativa flowering top, angelica archangelica root, arabica coffee bean, holy basil leaf, passiflora edulis flower, scutellaria lateriflora whole, verbena hastata top, and macropiper methysticum root",Calm Mood,GARLIC,,,,None,Uses for the temporary relief of nervousness and tension associated with stress or occasional anxiety.
60,ropinirole,ropinirole,ROPINIROLE HYDROCHLORIDE,,,,None,"1 INDICATIONS AND USAGE Ropinirole tablets are a non-ergoline dopamine agonist indicated for the treatment of Parkinson’s disease (PD) and moderate-to-severe primary Restless Legs Syndrome (RLS). ( 1.1 , 1.2 ) 1.1 Parkinson's Disease Ropinirole tablets are indicated for the treatment of Parkinson’s disease. 1.2 Restless Legs Syndrome Ropinirole tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS)."
61,"titanium dioxide, zinc oxide",Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30,TITANIUM DIOXIDE,,,,None,"Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun"
62,"ascorbic acid, sodium fluoride, vitamin a and vitamin d",Tri-Vite Drops with Fluoride,VITAMIN A,,,,None,"INDICATIONS AND USAGE Supplementation of the diet with vitamins A, C and D. Tri-Vite Drops with Fluoride 0.25 mg also provides fluoride for caries prophylaxis. The American Academy of Pediatrics recommends that children up to age 16, in areas where drinking water contains less than optimal levels of fluoride, receive daily fluoride supplementation. The American Academy of Pediatrics recommend that infants and young children 6 months to 3 years of age, in areas where the drinking water contains l"
63,ondansetron hydrochloride,Ondansetron Hydrochloride,ONDANSETRON HYDROCHLORIDE,,,,None,"1 INDICATIONS AND USAGE Ondansetron tablets are indicated for the prevention of nausea and vomiting associated with: highly emetogenic cancer chemotherapy, including cisplatin greater than or equal to 50 mg/m 2 initial and repeat courses of moderately emetogenic cancer chemotherapy radiotherapy in patients receiving either total body irradiation, single high-dose fraction to the abdomen, or daily fractions to the abdomen Ondansetron tablets are also indicated for the prevention of postoperative "
64,"avobenzone, octinoxate, octisalate, octocrylene",MediChoice Moisturizing Lip Balm SPF15,AVOBENZONE,,,,None,Uses Helps prevent sunburn
65,azithromycin,azithromycin,AZITHROMYCIN DIHYDRATE,,,,None,1 INDICATIONS AND USAGE Azithromycin tablet is a macrolide antibacterial drug indicated for treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions listed below: Acute bacterial exacerbations of chronic bronchitis in adults ( 1.1 ) Acute bacterial sinusitis in adults ( 1.1 ) Uncomplicated skin and skin structure infections in adults ( 1.1 ) Urethritis and cervicitis in adults ( 1.1 ) Genital ulcer disease in
66,divalproex sodium,Divalproex Sodium,DIVALPROEX SODIUM,,,,"WARNING: LIFE THREATENING ADVERSE REACTIONS Hepatotoxicity General Population: Hepatic failure resulting in fatalities has occurred in patients receiving valproate and its derivatives. These incidents usually have occurred during the first six months of treatment. Serious or fatal hepatotoxicity may be preceded by non-specific symptoms such as malaise, weakness, lethargy, facial edema, anorexia, and vomiting. In patients with epilepsy, a loss of seizure control may also occur. Patients should be monitored closely for appearance of these symptoms. Serum liver tests should be performed prior to therapy and at frequent intervals thereafter, especially during the first six months [see Warnings and Precautions (5.1) ] . Children under the age of two years are at a considerably increased risk of developing fatal hepatotoxicity, especially those on multiple anticonvulsants, those with congenital metabolic disorders, those with severe seizure disorders accompanied by mental retardation, and those with organic brain disease. When divalproex sodium extended-release tablets are used in this patient group, it should be used with extreme caution and as a sole agent. The benefits of therapy should be weighed against the risks. The incidence of fatal hepatotoxicity decreases considerably in progressively older patient groups. Patients with Mitochondrial Disease: There is an increased risk of valproate-induced acute liver failure and resultant deaths in patients with hereditary neurometabolic syndromes caused by DNA mutations of the mitochondrial DNA Polymerase γ (POLG) gene (e.g., Alpers Huttenlocher Syndrome). Divalproex sodium extended-release tablets are contraindicated in patients known to have mitochondrial disorders caused by POLG mutations and children under two years of age who are clinically suspected of having a mitochondrial disorder [see Contraindications (4) ] . In patients over two years of age who are clinically suspected of having a hereditary mitochondrial disease, divalproex sodium extended-release tablets should only be used after other anticonvulsants have failed. This older group of patients should be closely monitored during treatment with divalproex sodium extended-release tablets for the development of acute liver injury with regular clinical assessments and serum liver testing. POLG mutation screening should be performed in accordance with current clinical practice [see Warnings and Precautions (5.1) ] . Fetal Risk Valproate can cause major congenital malformations, particularly neural tube defects (e.g., spina bifida). In addition, valproate can cause decreased IQ scores and neurodevelopmental disorders following in utero exposure. Valproate is therefore contraindicated for prophylaxis of migraine headaches in pregnant women and in women of childbearing potential who are not using effective contraception [see Contraindications (4) ] . Valproate should not be used to treat women with epilepsy or bipolar disorder who are pregnant or who plan to become pregnant unless other medications have failed to provide adequate symptom control or are otherwise unacceptable. Valproate should not be administered to a woman of childbearing potential unless other medications have failed to provide adequate symptom control or are otherwise unacceptable. In such situations, effective contraception should be used [see Warnings and Precautions (5.2 , 5.3 , 5.4 )] . A Medication Guide describing the risks of valproate is available for patients [see Patient Counseling Information (17) ]. Pancreatitis Cases of life-threatening pancreatitis have been reported in both children and adults receiving valproate. Some of the cases have been described as hemorrhagic with a rapid progression from initial symptoms to death. Cases have been reported shortly after initial use as well as after several years of use. Patients and guardians should be warned that abdominal pain, nausea, vomiting, and/or anorexia can be symptoms of pancreatitis that require prompt medical evaluation. If pancreatitis is diagnosed, valproate should ordinarily be discontinued. Alternative treatment for the underlying medical condition should be initiated as clinically indicated [see Warnings and Precautions (5.5) ] . WARNING: LIFE THREATENING ADVERSE REACTIONS See full prescribing information for complete boxed warning • Hepatotoxicity, including fatalities, usually during the first 6 months of treatment. Children under the age of two years and patients with mitochondrial disorders are at higher risk. Monitor patients closely, and perform serum liver testing prior to therapy and at frequent intervals thereafter ( 5.1 ) • Fetal Risk, particularly neural tube defects, other major malformations, and decreased IQ ( 5.2 , 5.3 , 5.4 ) • Pancreatitis, including fatal hemorrhagic cases ( 5.5 )","1 INDICATIONS AND USAGE Divalproex sodium extended-release tablets are indicated for: • Acute treatment of manic or mixed episodes associated with bipolar disorder, with or without psychotic features ( 1.1 ) • Monotherapy and adjunctive therapy of complex partial seizures and simple and complex absence seizures; adjunctive therapy in patients with multiple seizure types that include absence seizures ( 1.2 ) • Prophylaxis of migraine headaches ( 1.3 ) 1.1 Mania Divalproex sodium extended-release "
